,precision,recall,f1-score,support
3,0.0,0.0,0.0,7.0
4,0.21739130434782608,0.25,0.23255813953488372,40.0
5,0.6374407582938388,0.6314553990610329,0.6344339622641509,426.0
6,0.6395173453996983,0.6347305389221557,0.637114951164538,668.0
7,0.5323741007194245,0.5285714285714286,0.5304659498207885,280.0
8,0.4,0.4489795918367347,0.4230769230769231,49.0
9,0.0,0.0,0.0,0.0
accuracy,0.5938775510204082,0.5938775510204082,0.5938775510204082,0.5938775510204082
macro avg,0.3466747869658268,0.35624813691305024,0.351092846551612,1470.0
weighted avg,0.5959916667588611,0.5938775510204082,0.5948470857581123,1470.0
